command,mean,stddev,median,user,system,min,max,parameter_threads
mpirun -n 1 athena -i ath-model-wr140.ath,1479.7143766010133,0.8616416318543341,1479.88444160468,1172.358451393333,303.67340048666665,1478.78038313268,1480.47830506568,1
mpirun -n 2 athena -i ath-model-wr140.ath,709.1379461500134,2.6462352066987687,709.82325108368,1124.0260487266667,290.38500682,706.21647057368,711.37411679268,2
mpirun -n 3 athena -i ath-model-wr140.ath,400.72398457134665,3.570018290175152,400.47851626467997,1086.8800113933332,111.52909515333333,397.28303529668,404.41040215268,3
mpirun -n 4 athena -i ath-model-wr140.ath,286.52039489468,0.645125717512452,286.43745728967997,1062.1951663933332,79.92966748666667,285.92074888167997,287.20297851268,4
mpirun -n 5 athena -i ath-model-wr140.ath,247.03517581901335,0.3045797016806506,247.11402599468,1124.7904397266666,105.85204648666667,246.69892454968,247.29257691268,5
mpirun -n 6 athena -i ath-model-wr140.ath,195.04017131267997,0.12800802511316695,195.00685398867998,1082.258722393333,83.08442815333332,194.93211621668,195.18154373267998,6
mpirun -n 7 athena -i ath-model-wr140.ath,173.10481427601334,0.6796343591053242,173.28987540667998,1108.4106317266667,98.00037315333333,172.35181634167998,173.67275107967998,7
mpirun -n 8 athena -i ath-model-wr140.ath,150.2833846320133,0.9949946315786456,149.91139077968,1111.42988106,85.06638415333332,149.52798379568,151.41077932067998,8
mpirun -n 9 athena -i ath-model-wr140.ath,137.33884321667998,0.3504422159781063,137.29149180267999,1130.9635323933333,98.83591948666667,137.01448425668,137.71055359067998,9
mpirun -n 10 athena -i ath-model-wr140.ath,124.10175686767998,0.33493863721163675,123.95837185268,1146.368440393333,87.80926548666666,123.86237953768,124.48451921268,10
mpirun -n 11 athena -i ath-model-wr140.ath,117.33129935334667,0.5281380707680416,117.28855564268001,1181.9584297266665,101.39095548666667,116.82583199868,117.87951041868,11
mpirun -n 12 athena -i ath-model-wr140.ath,105.62491614834668,0.6521940582043665,105.29378208968001,1166.6687983933332,92.94032881999999,105.20471891968,106.37624743568,12
mpirun -n 13 athena -i ath-model-wr140.ath,100.78690426268001,0.4052285309646621,100.64012549668,1197.1358730599998,104.28405948666666,100.47551818168,101.24506910968,13
mpirun -n 14 athena -i ath-model-wr140.ath,94.17952479668001,0.6517920647023637,94.20688335668001,1211.1885707266665,95.49035815333332,93.51448422868,94.81720680468,14
mpirun -n 15 athena -i ath-model-wr140.ath,89.25234820601334,0.6209973993007376,89.03463121268001,1222.4282377266666,106.33864682,88.76952498668001,89.95288841868,15
mpirun -n 16 athena -i ath-model-wr140.ath,83.28908298268,0.06548529721329695,83.30734249168,1219.776640393333,102.17607681999999,83.21640586868,83.34350058768001,16
mpirun -n 17 athena -i ath-model-wr140.ath,82.14547124268,0.6744580627034812,82.11437556268001,1274.9346073933332,110.16608748666665,81.48709885568,82.83493930968001,17
mpirun -n 18 athena -i ath-model-wr140.ath,77.07106784234666,0.5246606811806491,77.00382053568,1268.5404667266664,106.52541382,76.58327306468,77.62610992668,18
mpirun -n 19 athena -i ath-model-wr140.ath,74.98861527868,0.1372493781256435,74.96192886168001,1295.99013606,116.28304048666666,74.86666891568001,75.13724805868,19
mpirun -n 20 athena -i ath-model-wr140.ath,71.80332323701334,0.12610476897559353,71.79026500268,1311.5736560599998,110.98265248666667,71.68425567968,71.93544902868001,20
mpirun -n 21 athena -i ath-model-wr140.ath,70.09316540468001,0.1727880092906965,70.07300410168,1335.4258267266664,122.56565148666668,69.93134248568,70.27514962668,21
mpirun -n 22 athena -i ath-model-wr140.ath,68.38826292468,0.22013911438623554,68.29016705768001,1368.6735137266667,120.83540615333334,68.23422434868,68.64039736768001,22
mpirun -n 23 athena -i ath-model-wr140.ath,67.39516470134667,0.19003704189364368,67.35270677768,1404.1776363933332,128.08521182,67.22994777068,67.60283955568,23
mpirun -n 24 athena -i ath-model-wr140.ath,66.11337786201334,0.3797798905427305,66.08680391568001,1441.4984893933333,128.53831915333333,65.74758287268,66.50574679768,24
mpirun -n 25 athena -i ath-model-wr140.ath,66.36767677968001,0.06042109199241876,66.39448518868001,1502.659437393333,139.14510315333334,66.29849004868001,66.41005510168,25
mpirun -n 26 athena -i ath-model-wr140.ath,64.38018034134667,0.3361002899535976,64.21195120968001,1514.8806693933332,132.99987782,64.16141271168,64.76717710268001,26
mpirun -n 27 athena -i ath-model-wr140.ath,63.44197395701334,0.20246761905297408,63.333453379679995,1543.8922473933333,138.81821648666664,63.31690047868,63.675568012679996,27
mpirun -n 28 athena -i ath-model-wr140.ath,62.06326020001333,0.21592090975048708,61.97612973668,1574.41136506,143.05129648666664,61.90451860768,62.30913225568,28
mpirun -n 29 athena -i ath-model-wr140.ath,61.879759286013325,0.056470255843685785,61.85064132468,1616.69791306,156.46140948666667,61.84379106568,61.94484546768,29
mpirun -n 30 athena -i ath-model-wr140.ath,60.49571426734667,0.17035240342273283,60.58210404468,1638.8215250599999,153.82643815333333,60.29947511668,60.605563640679996,30
mpirun -n 31 athena -i ath-model-wr140.ath,60.37045445101333,0.34630131224320776,60.32375786368,1687.4758477266666,160.0848371533333,60.049870817679995,60.737734671679995,31
mpirun -n 32 athena -i ath-model-wr140.ath,60.11078509101333,0.28964079355169686,60.24965431968,1739.50549106,159.67237082,59.77785798668,60.30484296668,32
mpirun -n 33 athena -i ath-model-wr140.ath,60.015438812346666,0.29393061087960776,60.10399798468,1783.977965393333,170.72597982,59.68741081868,60.25490763368,33
mpirun -n 34 athena -i ath-model-wr140.ath,58.35603681768,0.15401943275090454,58.31669657968,1787.7358923933332,169.42012748666664,58.22550292568,58.525910947679996,34
mpirun -n 35 athena -i ath-model-wr140.ath,58.491637498346655,0.30392938540625997,58.34563270668,1838.9543943933331,180.19400948666666,58.28826149068,58.841018297679994,35
mpirun -n 36 athena -i ath-model-wr140.ath,57.24547854934667,0.1918588846286847,57.18505424368,1851.32525406,179.35685682,57.09110600868,57.46027539568,36
mpirun -n 37 athena -i ath-model-wr140.ath,57.41656886168,0.25793355891484465,57.31389842368,1901.5450707266666,193.3216541533333,57.22578054468,57.71002761668,37
mpirun -n 38 athena -i ath-model-wr140.ath,56.69349670168,0.12500850137306016,56.68125510268,1932.7734423933332,189.26415282000002,56.57505935068,56.82417565168,38
mpirun -n 39 athena -i ath-model-wr140.ath,57.49846571234667,0.20666030638189,57.570128878679995,2009.524638393333,201.26862282000002,57.26551290968,57.65975534868,39
mpirun -n 40 athena -i ath-model-wr140.ath,56.35452488134666,0.020004382088704937,56.36093709868,2021.5094337266664,199.8592534866667,56.33210060668,56.37053693868,40
mpirun -n 41 athena -i ath-model-wr140.ath,56.44405976334667,0.06882685048653492,56.44867894168,2070.2997947266667,208.96661382,56.37303967468,56.51046067368,41
mpirun -n 42 athena -i ath-model-wr140.ath,55.410502296346664,0.06171983220973284,55.39993184868,2084.05185606,207.34594681999997,55.354750343679996,55.47682469668,42
mpirun -n 43 athena -i ath-model-wr140.ath,56.347856150346665,0.054359894523061246,56.36253220668,2165.0721343933333,218.98920181999998,56.287664946679996,56.39337129768,43
mpirun -n 44 athena -i ath-model-wr140.ath,55.74071440968,0.07018132153637911,55.70305731168,2196.73371406,216.98203948666665,55.697398971679995,55.82168694568,44
