#T,        H_coll_WC, H_el_WC,   H_coll_OB, H_el_OB
1.0000e+04,1.4959e-15,2.5049e-15,1.3921e-14,4.4263e-13
1.1220e+04,1.7779e-15,1.0465e-14,1.6546e-14,5.2670e-13
1.2589e+04,2.1131e-15,3.3100e-14,1.9665e-14,6.2745e-13
1.4125e+04,2.5114e-15,6.8270e-14,2.3371e-14,7.4892e-13
1.5849e+04,2.9848e-15,1.0594e-13,2.7777e-14,8.9499e-13
1.7783e+04,3.5474e-15,1.4058e-13,3.3013e-14,1.0698e-12
1.9953e+04,4.2161e-15,1.7549e-13,3.9236e-14,1.2786e-12
2.2387e+04,5.0109e-15,2.2014e-13,4.6632e-14,1.5395e-12
2.5119e+04,5.9554e-15,2.9874e-13,5.5422e-14,1.9061e-12
2.8184e+04,7.0780e-15,4.5399e-13,6.5870e-14,2.4735e-12
3.1623e+04,8.4123e-15,6.8306e-13,7.8286e-14,3.2267e-12
3.5481e+04,9.9980e-15,9.4180e-13,9.3044e-14,4.0531e-12
3.9811e+04,1.1883e-14,1.2239e-12,1.1058e-13,4.9253e-12
4.4668e+04,1.4123e-14,1.5595e-12,1.3143e-13,5.9096e-12
5.0119e+04,1.6785e-14,1.9682e-12,1.5620e-13,7.0677e-12
5.6234e+04,1.9949e-14,2.4743e-12,1.8565e-13,8.4817e-12
6.3096e+04,2.3709e-14,3.1552e-12,2.2064e-13,1.0318e-11
7.0795e+04,2.8178e-14,4.1329e-12,2.6223e-13,1.2877e-11
7.9433e+04,3.3490e-14,5.5514e-12,3.1166e-13,1.6368e-11
8.9125e+04,3.9803e-14,7.4067e-12,3.7041e-13,2.0524e-11
1.0000e+05,4.7306e-14,9.8448e-12,4.4024e-13,2.5148e-11
1.1220e+05,5.6223e-14,1.3036e-11,5.2322e-13,3.0375e-11
1.2589e+05,6.6821e-14,1.6689e-11,6.2185e-13,3.6424e-11
1.4125e+05,7.9417e-14,2.0600e-11,7.3907e-13,4.3523e-11
1.5849e+05,9.4387e-14,2.4935e-11,8.7839e-13,5.1928e-11
1.7783e+05,1.1218e-13,2.9941e-11,1.0440e-12,6.1932e-11
1.9953e+05,1.3333e-13,3.5848e-11,1.2408e-12,7.3863e-11
2.2387e+05,1.5846e-13,4.2903e-11,1.4746e-12,8.8104e-11
2.5119e+05,1.8833e-13,5.1448e-11,1.7526e-12,1.0519e-10
