# Cooling curves for integrated and approximate forms of dust cooling, grain size, a = 1.000e-02
T,Lambda_int,h_e_int,H_el_int,Lambda_approx,h_e_approx,H_el_approx,Hcoll
1.000e+00,6.605e-22,1.000e+00,2.767e-18,6.605e-22,1.000e+00,2.767e-18,5.381e-20
1.109e+00,7.716e-22,1.000e+00,3.232e-18,7.716e-22,1.000e+00,3.232e-18,6.286e-20
1.230e+00,9.013e-22,1.000e+00,3.776e-18,9.013e-22,1.000e+00,3.776e-18,7.343e-20
1.365e+00,1.053e-21,1.000e+00,4.410e-18,1.053e-21,1.000e+00,4.410e-18,8.577e-20
1.514e+00,1.230e-21,1.000e+00,5.152e-18,1.230e-21,1.000e+00,5.152e-18,1.002e-19
1.679e+00,1.437e-21,1.000e+00,6.018e-18,1.437e-21,1.000e+00,6.018e-18,1.170e-19
1.862e+00,1.678e-21,1.000e+00,7.030e-18,1.678e-21,1.000e+00,7.030e-18,1.367e-19
2.065e+00,1.961e-21,1.000e+00,8.213e-18,1.961e-21,1.000e+00,8.213e-18,1.597e-19
2.291e+00,2.290e-21,1.000e+00,9.594e-18,2.290e-21,1.000e+00,9.594e-18,1.866e-19
2.541e+00,2.675e-21,1.000e+00,1.121e-17,2.675e-21,1.000e+00,1.121e-17,2.179e-19
2.818e+00,3.125e-21,1.000e+00,1.309e-17,3.125e-21,1.000e+00,1.309e-17,2.546e-19
3.126e+00,3.651e-21,1.000e+00,1.529e-17,3.651e-21,1.000e+00,1.529e-17,2.974e-19
3.467e+00,4.265e-21,1.000e+00,1.786e-17,4.265e-21,1.000e+00,1.786e-17,3.474e-19
3.846e+00,4.982e-21,1.000e+00,2.087e-17,4.982e-21,1.000e+00,2.087e-17,4.058e-19
4.266e+00,5.819e-21,1.000e+00,2.438e-17,5.819e-21,1.000e+00,2.438e-17,4.741e-19
4.732e+00,6.798e-21,1.000e+00,2.848e-17,6.798e-21,1.000e+00,2.848e-17,5.538e-19
5.248e+00,7.941e-21,1.000e+00,3.326e-17,7.941e-21,1.000e+00,3.326e-17,6.469e-19
5.821e+00,9.276e-21,1.000e+00,3.886e-17,9.276e-21,1.000e+00,3.886e-17,7.557e-19
6.457e+00,1.084e-20,1.000e+00,4.539e-17,1.084e-20,1.000e+00,4.539e-17,8.828e-19
7.161e+00,1.266e-20,1.000e+00,5.303e-17,1.266e-20,1.000e+00,5.303e-17,1.031e-18
7.943e+00,1.479e-20,1.000e+00,6.194e-17,1.479e-20,1.000e+00,6.194e-17,1.205e-18
8.810e+00,1.727e-20,1.000e+00,7.236e-17,1.727e-20,1.000e+00,7.236e-17,1.407e-18
9.772e+00,2.018e-20,1.000e+00,8.452e-17,2.018e-20,1.000e+00,8.452e-17,1.644e-18
1.084e+01,2.357e-20,1.000e+00,9.874e-17,2.357e-20,1.000e+00,9.874e-17,1.920e-18
1.202e+01,2.753e-20,1.000e+00,1.153e-16,2.753e-20,1.000e+00,1.153e-16,2.243e-18
1.334e+01,3.216e-20,1.000e+00,1.347e-16,3.216e-20,1.000e+00,1.347e-16,2.620e-18
1.479e+01,3.757e-20,1.000e+00,1.574e-16,3.757e-20,1.000e+00,1.574e-16,3.061e-18
1.641e+01,4.389e-20,1.000e+00,1.839e-16,4.389e-20,1.000e+00,1.839e-16,3.576e-18
1.820e+01,5.127e-20,1.000e+00,2.148e-16,5.127e-20,1.000e+00,2.148e-16,4.177e-18
2.018e+01,5.989e-20,1.000e+00,2.509e-16,5.989e-20,1.000e+00,2.509e-16,4.879e-18
2.239e+01,6.996e-20,1.000e+00,2.931e-16,6.996e-20,1.000e+00,2.931e-16,5.700e-18
2.483e+01,8.173e-20,1.000e+00,3.424e-16,8.173e-20,1.000e+00,3.424e-16,6.658e-18
2.754e+01,9.547e-20,1.000e+00,3.999e-16,9.547e-20,1.000e+00,3.999e-16,7.778e-18
3.055e+01,1.115e-19,1.000e+00,4.672e-16,1.115e-19,1.000e+00,4.672e-16,9.086e-18
3.388e+01,1.303e-19,1.000e+00,5.457e-16,1.303e-19,1.000e+00,5.457e-16,1.061e-17
