# Cooling curves for integrated and approximate forms of dust cooling, grain size, a = 1.000e-01
T,Lambda_int,h_e_int,H_el_int,Lambda_approx,h_e_approx,H_el_approx,Hcoll
1.000e+00,6.605e-20,1.000e+00,2.767e-16,6.605e-20,1.000e+00,2.767e-16,5.381e-18
1.109e+00,7.716e-20,1.000e+00,3.232e-16,7.716e-20,1.000e+00,3.232e-16,6.286e-18
1.230e+00,9.013e-20,1.000e+00,3.776e-16,9.013e-20,1.000e+00,3.776e-16,7.343e-18
1.365e+00,1.053e-19,1.000e+00,4.410e-16,1.053e-19,1.000e+00,4.410e-16,8.577e-18
1.514e+00,1.230e-19,1.000e+00,5.152e-16,1.230e-19,1.000e+00,5.152e-16,1.002e-17
1.679e+00,1.437e-19,1.000e+00,6.018e-16,1.437e-19,1.000e+00,6.018e-16,1.170e-17
1.862e+00,1.678e-19,1.000e+00,7.030e-16,1.678e-19,1.000e+00,7.030e-16,1.367e-17
2.065e+00,1.961e-19,1.000e+00,8.213e-16,1.961e-19,1.000e+00,8.213e-16,1.597e-17
2.291e+00,2.290e-19,1.000e+00,9.594e-16,2.290e-19,1.000e+00,9.594e-16,1.866e-17
2.541e+00,2.675e-19,1.000e+00,1.121e-15,2.675e-19,1.000e+00,1.121e-15,2.179e-17
2.818e+00,3.125e-19,1.000e+00,1.309e-15,3.125e-19,1.000e+00,1.309e-15,2.546e-17
3.126e+00,3.651e-19,1.000e+00,1.529e-15,3.651e-19,1.000e+00,1.529e-15,2.974e-17
3.467e+00,4.265e-19,1.000e+00,1.786e-15,4.264e-19,1.000e+00,1.786e-15,3.474e-17
3.846e+00,4.982e-19,1.000e+00,2.087e-15,4.982e-19,1.000e+00,2.087e-15,4.058e-17
4.266e+00,5.819e-19,1.000e+00,2.438e-15,5.819e-19,1.000e+00,2.438e-15,4.741e-17
4.732e+00,6.798e-19,1.000e+00,2.848e-15,6.798e-19,1.000e+00,2.848e-15,5.538e-17
5.248e+00,7.941e-19,1.000e+00,3.326e-15,7.941e-19,1.000e+00,3.326e-15,6.469e-17
5.821e+00,9.276e-19,1.000e+00,3.886e-15,9.276e-19,1.000e+00,3.886e-15,7.557e-17
6.457e+00,1.084e-18,1.000e+00,4.539e-15,1.084e-18,1.000e+00,4.539e-15,8.828e-17
7.161e+00,1.266e-18,1.000e+00,5.303e-15,1.266e-18,1.000e+00,5.303e-15,1.031e-16
7.943e+00,1.479e-18,1.000e+00,6.194e-15,1.479e-18,1.000e+00,6.194e-15,1.205e-16
8.810e+00,1.727e-18,1.000e+00,7.236e-15,1.727e-18,1.000e+00,7.236e-15,1.407e-16
9.772e+00,2.018e-18,1.000e+00,8.452e-15,2.018e-18,1.000e+00,8.452e-15,1.644e-16
1.084e+01,2.357e-18,1.000e+00,9.874e-15,2.357e-18,1.000e+00,9.874e-15,1.920e-16
1.202e+01,2.753e-18,1.000e+00,1.153e-14,2.753e-18,1.000e+00,1.153e-14,2.243e-16
1.334e+01,3.216e-18,1.000e+00,1.347e-14,3.216e-18,1.000e+00,1.347e-14,2.620e-16
1.479e+01,3.757e-18,1.000e+00,1.574e-14,3.757e-18,1.000e+00,1.574e-14,3.061e-16
1.641e+01,4.389e-18,1.000e+00,1.839e-14,4.389e-18,1.000e+00,1.839e-14,3.576e-16
1.820e+01,5.127e-18,1.000e+00,2.148e-14,5.127e-18,1.000e+00,2.148e-14,4.177e-16
2.018e+01,5.989e-18,1.000e+00,2.509e-14,5.989e-18,1.000e+00,2.509e-14,4.879e-16
2.239e+01,6.996e-18,1.000e+00,2.931e-14,6.996e-18,1.000e+00,2.931e-14,5.700e-16
2.483e+01,8.173e-18,1.000e+00,3.424e-14,8.173e-18,1.000e+00,3.424e-14,6.658e-16
2.754e+01,9.547e-18,1.000e+00,3.999e-14,9.547e-18,1.000e+00,3.999e-14,7.778e-16
