# Cooling curves for integrated and approximate forms of dust cooling, grain size, a = 1.000e+00
T,Lambda_int,h_e_int,H_el_int,Lambda_approx,h_e_approx,H_el_approx,Hcoll
1.000e+00,6.605e-18,1.000e+00,2.767e-14,6.605e-18,1.000e+00,2.767e-14,5.381e-16
1.109e+00,7.716e-18,1.000e+00,3.232e-14,7.716e-18,1.000e+00,3.232e-14,6.286e-16
1.230e+00,9.013e-18,1.000e+00,3.776e-14,9.013e-18,1.000e+00,3.776e-14,7.343e-16
1.365e+00,1.053e-17,1.000e+00,4.410e-14,1.053e-17,1.000e+00,4.410e-14,8.577e-16
1.514e+00,1.230e-17,1.000e+00,5.152e-14,1.230e-17,1.000e+00,5.152e-14,1.002e-15
1.679e+00,1.437e-17,1.000e+00,6.018e-14,1.437e-17,1.000e+00,6.018e-14,1.170e-15
1.862e+00,1.678e-17,1.000e+00,7.030e-14,1.678e-17,1.000e+00,7.030e-14,1.367e-15
2.065e+00,1.961e-17,1.000e+00,8.213e-14,1.961e-17,1.000e+00,8.213e-14,1.597e-15
2.291e+00,2.290e-17,1.000e+00,9.594e-14,2.290e-17,1.000e+00,9.594e-14,1.866e-15
2.541e+00,2.675e-17,1.000e+00,1.121e-13,2.675e-17,1.000e+00,1.121e-13,2.179e-15
2.818e+00,3.125e-17,1.000e+00,1.309e-13,3.125e-17,1.000e+00,1.309e-13,2.546e-15
3.126e+00,3.651e-17,1.000e+00,1.529e-13,3.651e-17,1.000e+00,1.529e-13,2.974e-15
3.467e+00,4.265e-17,1.000e+00,1.786e-13,4.265e-17,1.000e+00,1.786e-13,3.474e-15
3.846e+00,4.982e-17,1.000e+00,2.087e-13,4.982e-17,1.000e+00,2.087e-13,4.058e-15
4.266e+00,5.819e-17,1.000e+00,2.438e-13,5.819e-17,1.000e+00,2.438e-13,4.741e-15
4.732e+00,6.798e-17,1.000e+00,2.848e-13,6.798e-17,1.000e+00,2.848e-13,5.538e-15
5.248e+00,7.941e-17,1.000e+00,3.326e-13,7.941e-17,1.000e+00,3.326e-13,6.469e-15
5.821e+00,9.276e-17,1.000e+00,3.886e-13,9.276e-17,1.000e+00,3.886e-13,7.557e-15
6.457e+00,1.084e-16,1.000e+00,4.539e-13,1.084e-16,1.000e+00,4.539e-13,8.828e-15
7.161e+00,1.266e-16,1.000e+00,5.303e-13,1.266e-16,1.000e+00,5.303e-13,1.031e-14
7.943e+00,1.479e-16,1.000e+00,6.194e-13,1.479e-16,1.000e+00,6.194e-13,1.205e-14
8.810e+00,1.727e-16,1.000e+00,7.236e-13,1.727e-16,1.000e+00,7.236e-13,1.407e-14
9.772e+00,2.018e-16,1.000e+00,8.452e-13,2.018e-16,1.000e+00,8.452e-13,1.644e-14
1.084e+01,2.357e-16,1.000e+00,9.874e-13,2.357e-16,1.000e+00,9.874e-13,1.920e-14
1.202e+01,2.753e-16,1.000e+00,1.153e-12,2.753e-16,1.000e+00,1.153e-12,2.243e-14
1.334e+01,3.216e-16,1.000e+00,1.347e-12,3.216e-16,1.000e+00,1.347e-12,2.620e-14
1.479e+01,3.757e-16,1.000e+00,1.574e-12,3.757e-16,1.000e+00,1.574e-12,3.061e-14
1.641e+01,4.389e-16,1.000e+00,1.839e-12,4.389e-16,1.000e+00,1.839e-12,3.576e-14
1.820e+01,5.127e-16,1.000e+00,2.148e-12,5.127e-16,1.000e+00,2.148e-12,4.177e-14
2.018e+01,5.989e-16,1.000e+00,2.509e-12,5.989e-16,1.000e+00,2.509e-12,4.879e-14
2.239e+01,6.996e-16,1.000e+00,2.931e-12,6.996e-16,1.000e+00,2.931e-12,5.700e-14
2.483e+01,8.173e-16,1.000e+00,3.424e-12,8.173e-16,1.000e+00,3.424e-12,6.658e-14
2.754e+01,9.547e-16,1.000e+00,3.999e-12,9.547e-16,1.000e+00,3.999e-12,7.778e-14
3.055e+01,1.115e-15,1.000e+00,4.672e-12,1.115e-15,1.000e+00,4.672e-12,9.086e-14
3.388e+01,1.303e-15,1.000e+00,5.457e-12,1.303e-15,1.000e+00,5.457e-12,1.061e-13
3.758e+01,1.522e-15,1.000e+00,6.375e-12,1.522e-15,1.000e+00,6.375e-12,1.240e-13
4.169e+01,1.778e-15,1.000e+00,7.447e-12,1.778e-15,1.000e+00,7.447e-12,1.448e-13
4.624e+01,2.077e-15,1.000e+00,8.699e-12,2.077e-15,1.000e+00,8.699e-12,1.692e-13
5.129e+01,2.426e-15,1.000e+00,1.016e-11,2.426e-15,1.000e+00,1.016e-11,1.976e-13
5.689e+01,2.834e-15,1.000e+00,1.187e-11,2.834e-15,1.000e+00,1.187e-11,2.309e-13
6.310e+01,3.310e-15,1.000e+00,1.387e-11,3.310e-15,1.000e+00,1.387e-11,2.697e-13
6.998e+01,3.867e-15,1.000e+00,1.620e-11,3.867e-15,1.000e+00,1.620e-11,3.150e-13
7.762e+01,4.517e-15,1.000e+00,1.892e-11,4.517e-15,1.000e+00,1.892e-11,3.680e-13
8.610e+01,5.277e-15,1.000e+00,2.210e-11,5.277e-15,1.000e+00,2.210e-11,4.299e-13
9.550e+01,6.164e-15,1.000e+00,2.582e-11,6.164e-15,1.000e+00,2.582e-11,5.022e-13
1.059e+02,7.201e-15,1.000e+00,3.016e-11,7.201e-15,1.000e+00,3.016e-11,5.866e-13
1.175e+02,8.411e-15,1.000e+00,3.524e-11,8.411e-15,1.000e+00,3.524e-11,6.853e-13
1.303e+02,9.826e-15,1.000e+00,4.116e-11,9.826e-15,1.000e+00,4.116e-11,8.005e-13
1.445e+02,1.148e-14,1.000e+00,4.808e-11,1.148e-14,1.000e+00,4.808e-11,9.351e-13
1.603e+02,1.341e-14,1.000e+00,5.617e-11,1.341e-14,1.000e+00,5.617e-11,1.092e-12
1.778e+02,1.566e-14,1.000e+00,6.561e-11,1.566e-14,1.000e+00,6.561e-11,1.276e-12
1.972e+02,1.830e-14,1.000e+00,7.664e-11,1.830e-14,1.000e+00,7.664e-11,1.491e-12
2.188e+02,2.137e-14,1.000e+00,8.953e-11,2.137e-14,1.000e+00,8.953e-11,1.741e-12
2.427e+02,2.497e-14,1.000e+00,1.046e-10,2.497e-14,1.000e+00,1.046e-10,2.034e-12
2.692e+02,2.917e-14,1.000e+00,1.222e-10,2.917e-14,1.000e+00,1.222e-10,2.376e-12
2.985e+02,3.407e-14,1.000e+00,1.427e-10,3.407e-14,1.000e+00,1.427e-10,2.776e-12
3.311e+02,3.980e-14,1.000e+00,1.667e-10,3.980e-14,1.000e+00,1.667e-10,3.242e-12
3.673e+02,4.649e-14,1.000e+00,1.948e-10,4.649e-14,1.000e+00,1.948e-10,3.787e-12
4.074e+02,5.431e-14,1.000e+00,2.275e-10,5.431e-14,1.000e+00,2.275e-10,4.424e-12
4.519e+02,6.344e-14,1.000e+00,2.658e-10,6.344e-14,1.000e+00,2.658e-10,5.168e-12
5.012e+02,7.411e-14,1.000e+00,3.104e-10,7.411e-14,1.000e+00,3.104e-10,6.037e-12
5.559e+02,8.657e-14,1.000e+00,3.626e-10,8.657e-14,1.000e+00,3.626e-10,7.053e-12
6.166e+02,1.011e-13,1.000e+00,4.236e-10,1.011e-13,1.000e+00,4.236e-10,8.239e-12
6.839e+02,1.181e-13,1.000e+00,4.949e-10,1.181e-13,1.000e+00,4.949e-10,9.624e-12
7.586e+02,1.380e-13,1.000e+00,5.781e-10,1.380e-13,1.000e+00,5.781e-10,1.124e-11
8.414e+02,1.612e-13,1.000e+00,6.753e-10,1.612e-13,1.000e+00,6.753e-10,1.313e-11
9.333e+02,1.883e-13,1.000e+00,7.888e-10,1.883e-13,1.000e+00,7.888e-10,1.534e-11
1.035e+03,2.200e-13,1.000e+00,9.215e-10,2.200e-13,1.000e+00,9.215e-10,1.792e-11
1.148e+03,2.570e-13,1.000e+00,1.076e-09,2.570e-13,1.000e+00,1.076e-09,2.093e-11
1.274e+03,3.002e-13,1.000e+00,1.257e-09,3.002e-13,1.000e+00,1.257e-09,2.445e-11
1.413e+03,3.506e-13,1.000e+00,1.469e-09,3.506e-13,1.000e+00,1.469e-09,2.857e-11
1.567e+03,4.096e-13,1.000e+00,1.716e-09,4.096e-13,1.000e+00,1.716e-09,3.337e-11
1.738e+03,4.785e-13,1.000e+00,2.004e-09,4.785e-13,1.000e+00,2.004e-09,3.898e-11
1.928e+03,5.589e-13,1.000e+00,2.341e-09,5.589e-13,1.000e+00,2.341e-09,4.554e-11
2.138e+03,6.529e-13,1.000e+00,2.735e-09,6.529e-13,1.000e+00,2.735e-09,5.319e-11
2.371e+03,7.627e-13,1.000e+00,3.195e-09,7.627e-13,1.000e+00,3.195e-09,6.214e-11
2.630e+03,8.910e-13,1.000e+00,3.732e-09,8.910e-13,1.000e+00,3.732e-09,7.259e-11
2.917e+03,1.041e-12,1.000e+00,4.360e-09,1.041e-12,1.000e+00,4.360e-09,8.479e-11
3.236e+03,1.216e-12,1.000e+00,5.093e-09,1.216e-12,1.000e+00,5.093e-09,9.905e-11
3.589e+03,1.420e-12,1.000e+00,5.950e-09,1.420e-12,1.000e+00,5.950e-09,1.157e-10
3.981e+03,1.659e-12,1.000e+00,6.950e-09,1.659e-12,1.000e+00,6.950e-09,1.352e-10
4.416e+03,1.938e-12,1.000e+00,8.119e-09,1.938e-12,1.000e+00,8.119e-09,1.579e-10
4.898e+03,2.264e-12,1.000e+00,9.484e-09,2.264e-12,1.000e+00,9.484e-09,1.844e-10
5.433e+03,2.645e-12,1.000e+00,1.108e-08,2.645e-12,1.000e+00,1.108e-08,2.155e-10
6.026e+03,3.089e-12,1.000e+00,1.294e-08,3.089e-12,1.000e+00,1.294e-08,2.517e-10
6.683e+03,3.609e-12,1.000e+00,1.512e-08,3.609e-12,1.000e+00,1.512e-08,2.940e-10
7.413e+03,4.216e-12,1.000e+00,1.766e-08,4.216e-12,1.000e+00,1.766e-08,3.434e-10
8.222e+03,4.925e-12,1.000e+00,2.063e-08,4.925e-12,1.000e+00,2.063e-08,4.012e-10
9.120e+03,5.753e-12,1.000e+00,2.410e-08,5.753e-12,1.000e+00,2.410e-08,4.687e-10
1.012e+04,6.720e-12,1.000e+00,2.815e-08,6.720e-12,1.000e+00,2.815e-08,5.475e-10
1.122e+04,7.850e-12,1.000e+00,3.288e-08,7.850e-12,1.000e+00,3.288e-08,6.395e-10
1.245e+04,9.170e-12,1.000e+00,3.841e-08,9.170e-12,1.000e+00,3.841e-08,7.471e-10
1.380e+04,1.071e-11,1.000e+00,4.487e-08,1.071e-11,1.000e+00,4.487e-08,8.727e-10
1.531e+04,1.251e-11,1.000e+00,5.242e-08,1.251e-11,1.000e+00,5.242e-08,1.019e-09
