Steps,T1,T2,T3,Avg,Time/step,Iter/sec
1,0.8675,1.18654,1.16417,1.072736667,0.00008675,11527377.52
10,4.63017,4.58638,4.54479,4.587113333,0.000463017,2159747.914
25,8.60292,10.9358,11.3885,10.30907333,0.000860292,1162396.024
50,19.9767,20.5127,20.1415,20.2103,0.00199767,500583.1794
100,54.1585,37.5579,36.3108,42.67573333,0.00541585,184643.2231
250,100.899,84.6158,85.1643,90.22636667,0.0100899,99109.01
500,171.47,162.087,161.722,165.093,0.017147,58319.23952
1000,320.507,318.45,328.291,322.416,0.0320507,31200.5666
2500,807.628,794.933,786.146,796.2356667,0.0807628,12381.93822
5000,1594.33,1571.94,1569.54,1578.603333,0.159433,6272.227205
10000,3140.3,3118.95,3107.38,3122.21,0.31403,3184.409133
