Nsteps,Niter,tsolve direct,tsolve search,tsolve locked,,
1,10000,0.285150649,0.046886841,0.049151117,6.08167756492701,5.80150902776024
2,20000,0.560216657,0.094769396,0.06279207,5.91136675599368,8.92177399152473
4,40000,1.12347708,0.188601417,0.093066851,5.95688567917812,12.0717212189762
8,80000,2.24911148,0.380853044,0.15648091,5.90545753915518,14.3730726003574
16,160000,4.50308831,0.751765722,0.276729993,5.99001547718878,16.2724981892368
32,320000,9.35802346,1.50945136,0.523288053,6.19961908544042,17.8831207904531
64,640000,18.22439,3.00840443,1.01531744,6.05782580901199,17.9494503709106
128,1280000,36.0298272,6.01641257,1.99851022,5.98858984167038,18.0283427322178
256,2560000,72.6224229,12.0466633,3.96640779,6.02842638591883,18.3093687651314
512,5120000,149.540058,24.3747502,8.02971393,6.13503961160595,18.6233356883736
1024,10240000,296.753001,48.8349437,15.8965217,6.0766528742819,18.6677945402358
2048,20480000,596.013795,97.7494744,31.7521153,6.0973606114858,18.7708374503163
4096,40960000,1203.60542,195.558349,64.0113193,6.15471252521159,18.8030091109214
8192,81920000,2374.94637,390.781395,126.761384,6.07742947946639,18.7355667401044
