#logT     Lambda_a  Lambda_i  Err  
0.000e+00 6.103e-31 6.103e-31 1.435e-16
9.000e-02 8.328e-31 8.328e-31 0.000e+00
1.800e-01 1.136e-30 1.136e-30 0.000e+00
2.700e-01 1.551e-30 1.551e-30 0.000e+00
3.600e-01 2.116e-30 2.116e-30 3.311e-16
4.500e-01 2.888e-30 2.888e-30 0.000e+00
5.400e-01 3.940e-30 3.940e-30 1.778e-16
6.300e-01 5.377e-30 5.377e-30 0.000e+00
7.200e-01 7.337e-30 7.337e-30 1.910e-16
8.100e-01 1.001e-29 1.001e-29 2.799e-16
9.000e-01 1.366e-29 1.366e-29 4.102e-16
9.900e-01 1.864e-29 1.864e-29 3.006e-16
1.080e+00 2.544e-29 2.544e-29 0.000e+00
1.170e+00 3.472e-29 3.472e-29 3.229e-16
1.260e+00 4.737e-29 4.737e-29 2.366e-16
1.350e+00 6.465e-29 6.465e-29 0.000e+00
1.440e+00 8.822e-29 8.822e-29 1.271e-16
1.530e+00 1.204e-28 1.204e-28 1.863e-16
1.620e+00 1.643e-28 1.643e-28 2.730e-16
1.710e+00 2.242e-28 2.242e-28 2.000e-16
1.800e+00 3.059e-28 3.059e-28 1.466e-16
1.890e+00 4.174e-28 4.174e-28 2.149e-16
1.980e+00 5.696e-28 5.696e-28 0.000e+00
2.070e+00 7.772e-28 7.772e-28 3.462e-16
2.160e+00 1.061e-27 1.061e-27 0.000e+00
2.250e+00 1.447e-27 1.447e-27 3.718e-16
2.340e+00 1.975e-27 1.975e-27 3.633e-16
2.430e+00 2.695e-27 2.695e-27 0.000e+00
2.520e+00 3.677e-27 3.677e-27 1.951e-16
2.610e+00 5.018e-27 5.018e-27 1.430e-16
2.700e+00 6.848e-27 6.848e-27 0.000e+00
2.790e+00 9.344e-27 9.344e-27 3.071e-16
2.880e+00 1.275e-26 1.275e-26 3.376e-16
2.970e+00 1.740e-26 1.740e-26 0.000e+00
3.060e+00 2.374e-26 2.374e-26 0.000e+00
3.150e+00 3.240e-26 3.240e-26 5.315e-16
3.240e+00 4.421e-26 4.421e-26 2.596e-16
3.330e+00 6.033e-26 6.033e-26 0.000e+00
3.420e+00 8.233e-26 8.233e-26 0.000e+00
3.510e+00 1.123e-25 1.123e-25 2.044e-16
3.600e+00 1.533e-25 1.533e-25 0.000e+00
3.690e+00 2.092e-25 2.092e-25 0.000e+00
3.780e+00 2.855e-25 2.855e-25 1.609e-16
3.870e+00 3.895e-25 3.895e-25 0.000e+00
3.960e+00 5.316e-25 5.316e-25 1.728e-16
4.050e+00 7.253e-25 7.253e-25 3.798e-16
4.140e+00 9.898e-25 9.898e-25 1.856e-16
4.230e+00 1.351e-24 1.351e-24 2.720e-16
4.320e+00 1.843e-24 1.843e-24 1.993e-16
4.410e+00 2.515e-24 2.515e-24 1.461e-16
4.500e+00 3.432e-24 3.432e-24 2.141e-16
4.590e+00 4.683e-24 4.683e-24 0.000e+00
4.680e+00 6.391e-24 6.391e-24 2.299e-16
4.770e+00 8.721e-24 8.721e-24 0.000e+00
4.860e+00 1.190e-23 1.190e-23 1.235e-16
4.950e+00 1.624e-23 1.624e-23 0.000e+00
5.040e+00 2.216e-23 2.216e-23 0.000e+00
5.130e+00 3.024e-23 3.024e-23 0.000e+00
5.220e+00 4.126e-23 4.126e-23 0.000e+00
5.310e+00 5.630e-23 5.630e-23 0.000e+00
5.400e+00 7.683e-23 7.683e-23 1.530e-16
5.490e+00 1.048e-22 1.048e-22 3.364e-16
5.580e+00 1.431e-22 1.431e-22 1.643e-16
5.670e+00 1.952e-22 1.952e-22 1.204e-16
5.760e+00 2.664e-22 2.664e-22 0.000e+00
5.850e+00 3.635e-22 3.635e-22 0.000e+00
5.940e+00 4.961e-22 4.961e-22 0.000e+00
6.030e+00 6.769e-22 6.769e-22 0.000e+00
6.120e+00 9.237e-22 9.237e-22 0.000e+00
6.210e+00 1.261e-21 1.261e-21 2.865e-14
6.300e+00 1.720e-21 1.720e-21 1.673e-11
6.390e+00 2.347e-21 2.347e-21 2.834e-09
6.480e+00 3.203e-21 3.203e-21 1.754e-07
6.570e+00 4.371e-21 4.371e-21 4.799e-06
6.660e+00 5.964e-21 5.964e-21 6.770e-05
6.750e+00 8.134e-21 8.138e-21 5.586e-04
6.840e+00 1.107e-20 1.111e-20 2.991e-03
6.930e+00 1.498e-20 1.515e-20 1.134e-02
7.020e+00 2.002e-20 2.068e-20 3.284e-02
7.110e+00 2.619e-20 2.643e-20 9.149e-03
7.200e+00 3.329e-20 3.181e-20 4.466e-02
7.290e+00 4.094e-20 3.829e-20 6.482e-02
7.380e+00 4.866e-20 4.611e-20 5.252e-02
7.470e+00 5.601e-20 5.553e-20 8.476e-03
7.560e+00 6.265e-20 6.688e-20 6.757e-02
7.650e+00 6.840e-20 7.366e-20 7.681e-02
7.740e+00 7.325e-20 7.454e-20 1.763e-02
7.830e+00 7.723e-20 7.554e-20 2.194e-02
7.920e+00 8.049e-20 7.665e-20 4.773e-02
8.010e+00 8.317e-20 7.785e-20 6.388e-02
8.100e+00 8.541e-20 7.914e-20 7.334e-02
8.190e+00 8.734e-20 8.051e-20 7.821e-02
8.280e+00 8.909e-20 8.196e-20 7.997e-02
8.370e+00 9.074e-20 8.351e-20 7.965e-02
8.460e+00 9.238e-20 8.518e-20 7.794e-02
8.550e+00 9.405e-20 8.697e-20 7.527e-02
8.640e+00 9.581e-20 8.892e-20 7.189e-02
8.730e+00 9.769e-20 9.105e-20 6.790e-02
8.820e+00 9.970e-20 9.339e-20 6.330e-02
8.910e+00 1.019e-19 9.596e-20 5.798e-02
9.000e+00 1.042e-19 9.879e-20 5.173e-02
