T(K)     Hydrogen Helium   Solar    WC9
1.00E+00 1.58E-24 3.92E-25 1.24E-24 2.87E-25
1.23E+00 2.15E-24 5.35E-25 1.69E-24 3.92E-25
1.51E+00 2.93E-24 7.31E-25 2.30E-24 5.35E-25
1.86E+00 4.00E-24 9.97E-25 3.14E-24 7.31E-25
2.29E+00 5.46E-24 1.36E-24 4.29E-24 9.97E-25
2.82E+00 7.46E-24 1.86E-24 5.86E-24 1.36E-24
3.47E+00 1.02E-23 2.53E-24 7.99E-24 1.86E-24
4.27E+00 1.39E-23 3.46E-24 1.09E-23 2.53E-24
5.25E+00 1.89E-23 4.72E-24 1.49E-23 3.46E-24
6.46E+00 2.59E-23 6.44E-24 2.03E-23 4.72E-24
7.94E+00 3.53E-23 8.78E-24 2.77E-23 6.44E-24
9.77E+00 4.81E-23 1.20E-23 3.78E-23 8.78E-24
1.20E+01 6.57E-23 1.64E-23 5.16E-23 1.20E-23
1.48E+01 8.97E-23 2.23E-23 7.04E-23 1.64E-23
1.82E+01 1.22E-22 3.05E-23 9.61E-23 2.23E-23
2.24E+01 1.67E-22 4.16E-23 1.31E-22 3.05E-23
2.75E+01 2.28E-22 5.67E-23 1.79E-22 4.16E-23
3.39E+01 3.11E-22 7.74E-23 2.44E-22 5.67E-23
4.17E+01 4.24E-22 1.06E-22 3.33E-22 7.74E-23
5.13E+01 5.79E-22 1.44E-22 4.55E-22 1.06E-22
6.31E+01 7.90E-22 1.97E-22 6.20E-22 1.44E-22
7.76E+01 1.08E-21 2.68E-22 8.46E-22 1.97E-22
9.55E+01 1.47E-21 3.66E-22 1.16E-21 2.68E-22
1.17E+02 2.01E-21 5.00E-22 1.58E-21 3.66E-22
1.45E+02 2.74E-21 6.82E-22 2.15E-21 5.00E-22
1.78E+02 3.74E-21 9.31E-22 2.93E-21 6.82E-22
2.19E+02 5.10E-21 1.27E-21 4.00E-21 9.30E-22
2.69E+02 6.96E-21 1.73E-21 5.46E-21 1.27E-21
3.31E+02 9.50E-21 2.36E-21 7.46E-21 1.73E-21
4.07E+02 1.30E-20 3.23E-21 1.02E-20 2.36E-21
5.01E+02 1.77E-20 4.40E-21 1.39E-20 3.23E-21
6.17E+02 2.41E-20 6.01E-21 1.89E-20 4.40E-21
7.59E+02 3.29E-20 8.20E-21 2.59E-20 6.01E-21
9.33E+02 4.49E-20 1.12E-20 3.53E-20 8.20E-21
1.15E+03 6.13E-20 1.53E-20 4.81E-20 1.12E-20
1.41E+03 8.37E-20 2.08E-20 6.57E-20 1.53E-20
1.74E+03 1.14E-19 2.84E-20 8.97E-20 2.08E-20
2.14E+03 1.56E-19 3.88E-20 1.22E-19 2.84E-20
2.63E+03 2.13E-19 5.29E-20 1.67E-19 3.88E-20
3.24E+03 2.90E-19 7.22E-20 2.28E-19 5.29E-20
3.98E+03 3.96E-19 9.86E-20 3.11E-19 7.22E-20
4.90E+03 5.40E-19 1.35E-19 4.24E-19 9.85E-20
6.03E+03 7.37E-19 1.84E-19 5.79E-19 1.34E-19
7.41E+03 1.01E-18 2.50E-19 7.90E-19 1.83E-19
9.12E+03 1.37E-18 3.42E-19 1.08E-18 2.50E-19
1.12E+04 1.87E-18 4.66E-19 1.47E-18 3.42E-19
1.38E+04 2.56E-18 6.36E-19 2.01E-18 4.66E-19
1.70E+04 3.49E-18 8.68E-19 2.74E-18 6.36E-19
2.09E+04 4.76E-18 1.19E-18 3.74E-18 8.68E-19
2.57E+04 6.50E-18 1.62E-18 5.10E-18 1.18E-18
3.16E+04 8.86E-18 2.21E-18 6.96E-18 1.62E-18
3.89E+04 1.21E-17 3.01E-18 9.50E-18 2.21E-18
4.79E+04 1.65E-17 4.11E-18 1.30E-17 3.01E-18
5.89E+04 2.25E-17 5.61E-18 1.77E-17 4.11E-18
7.24E+04 3.07E-17 7.65E-18 2.41E-17 5.61E-18
8.91E+04 4.19E-17 1.04E-17 3.29E-17 7.65E-18
1.10E+05 5.72E-17 1.42E-17 4.49E-17 1.04E-17
1.35E+05 7.81E-17 1.94E-17 6.13E-17 1.42E-17
1.66E+05 1.07E-16 2.65E-17 8.37E-17 1.94E-17
2.04E+05 1.45E-16 3.62E-17 1.14E-16 2.65E-17
2.51E+05 1.98E-16 4.94E-17 1.56E-16 3.62E-17
3.09E+05 2.71E-16 6.74E-17 2.13E-16 4.94E-17
3.80E+05 3.69E-16 9.20E-17 2.90E-16 6.74E-17
4.68E+05 5.04E-16 1.26E-16 3.96E-16 9.20E-17
5.75E+05 6.88E-16 1.71E-16 5.40E-16 1.25E-16
7.08E+05 9.39E-16 2.34E-16 7.37E-16 1.71E-16
8.71E+05 1.28E-15 3.19E-16 1.01E-15 2.34E-16
1.07E+06 1.75E-15 4.35E-16 1.37E-15 3.19E-16
1.32E+06 2.39E-15 5.94E-16 1.87E-15 4.35E-16
1.62E+06 3.26E-15 8.10E-16 2.56E-15 5.94E-16
2.00E+06 4.44E-15 1.11E-15 3.49E-15 8.10E-16
2.45E+06 6.06E-15 1.51E-15 4.76E-15 1.11E-15
3.02E+06 8.27E-15 2.06E-15 6.49E-15 1.51E-15
3.72E+06 1.13E-14 2.81E-15 8.86E-15 2.06E-15
4.57E+06 1.54E-14 3.83E-15 1.21E-14 2.81E-15
5.62E+06 2.10E-14 5.23E-15 1.65E-14 3.83E-15
6.92E+06 2.87E-14 7.14E-15 2.25E-14 5.23E-15
8.51E+06 3.91E-14 9.74E-15 3.07E-14 7.14E-15
1.05E+07 5.34E-14 1.33E-14 4.19E-14 9.74E-15
1.29E+07 6.83E-14 1.70E-14 5.36E-14 1.24E-14
1.58E+07 8.22E-14 2.04E-14 6.45E-14 1.50E-14
1.95E+07 9.90E-14 2.46E-14 7.77E-14 1.80E-14
2.40E+07 1.19E-13 2.95E-14 9.36E-14 2.16E-14
2.95E+07 1.44E-13 3.55E-14 1.13E-13 2.60E-14
3.63E+07 1.73E-13 4.27E-14 1.36E-13 3.13E-14
4.47E+07 1.91E-13 4.70E-14 1.50E-13 3.44E-14
5.50E+07 1.94E-13 4.75E-14 1.52E-13 3.47E-14
6.76E+07 1.97E-13 4.80E-14 1.54E-13 3.51E-14
8.32E+07 2.00E-13 4.87E-14 1.57E-13 3.56E-14
1.02E+08 2.04E-13 4.95E-14 1.60E-13 3.62E-14
1.26E+08 2.08E-13 5.04E-14 1.63E-13 3.68E-14
1.55E+08 2.12E-13 5.14E-14 1.66E-13 3.76E-14
1.91E+08 2.17E-13 5.24E-14 1.70E-13 3.84E-14
2.34E+08 2.22E-13 5.35E-14 1.74E-13 3.93E-14
2.88E+08 2.27E-13 5.47E-14 1.78E-13 4.04E-14
3.55E+08 2.32E-13 5.60E-14 1.82E-13 4.15E-14
4.37E+08 2.38E-13 5.74E-14 1.87E-13 4.27E-14
5.37E+08 2.45E-13 5.88E-14 1.92E-13 4.39E-14
6.61E+08 2.52E-13 6.04E-14 1.97E-13 4.53E-14
8.13E+08 2.60E-13 6.21E-14 2.03E-13 4.68E-14
1.00E+09 2.69E-13 6.40E-14 2.10E-13 4.84E-14
