t,x1,y1,x2,y2,sep
0.0,0.0,-41011092447539.21,-0.0,20505546223769.605,0.0,61516638671308.83
4804.320432043204,0.00010001000100010001,-41011084350655.01,-25770604714.440166,20505542175327.504,12885302357.220083,61516638671308.81
9608.640864086408,0.00020002000200020003,-41011060060005.61,-51541199253.01865,20505530030002.805,25770599626.509323,61516638671308.83
14412.961296129612,0.00030003000300030005,-41011019575600.59,-77311773439.87779,20505509787800.297,38655886719.938896,61516638671308.81
19217.281728172817,0.00040004000400040005,-41010962897455.96,-103082317099.16794,20505481448727.98,51541158549.58397,61516638671308.83
24021.60216021602,0.0005000500050005,-41010890025594.07,-128852820055.05151,20505445012797.035,64426410027.52576,61516638671308.81
28825.922592259223,0.0006000600060006001,-41010800960043.72,-154623272131.7071,20505400480021.86,77311636065.85355,61516638671308.81
33630.24302430243,0.0007000700070007,-41010695700840.06,-180393663153.33313,20505347850420.03,90196831576.66656,61516638671308.81
38434.56345634563,0.0008000800080008001,-41010574248024.67,-206163982944.15244,20505287124012.336,103081991472.07622,61516638671308.81
43238.88388838884,0.0009000900090009,-41010436601645.49,-231934221328.41574,20505218300822.746,115967110664.20787,61516638671308.81
48043.20432043204,0.001000100010001,-41010282761756.89,-257704368130.40613,20505141380878.445,128852184065.20306,61516638671308.81
52847.52475247525,0.0011001100110011,-41010112728419.59,-283474413174.44257,20505056364209.797,141737206587.22128,61516638671308.8
57651.845184518446,0.0012001200120012002,-41009926501700.766,-309244346284.88446,20504963250850.383,154622173142.44223,61516638671308.81
62456.16561656165,0.0013001300130013,-41009724081673.914,-335014157286.1354,20504862040836.957,167507078643.0677,61516638671308.81
67260.48604860486,0.0014001400140014,-41009505468418.984,-360783836002.647,20504752734209.492,180391918001.3235,61516638671308.81
72064.80648064807,0.0015001500150015003,-41009270662022.305,-386553372258.9232,20504635331011.152,193276686129.4616,61516638671308.83
76869.12691269127,0.0016001600160016002,-41009019662576.57,-412322755879.52423,20504509831288.285,206161377939.76212,61516638671308.83
81673.44734473446,0.0017001700170017,-41008752470180.91,-438091976689.0705,20504376235090.453,219045988344.53525,61516638671308.83
86477.76777677768,0.0018001800180018,-41008469084940.81,-463861024512.2471,20504234542470.406,231930512256.12354,61516638671308.83
91282.08820882087,0.0019001900190019,-41008169506968.19,-489629889173.80664,20504084753484.094,244814944586.90332,61516638671308.83
96086.40864086409,0.002000200020002,-41007853736381.33,-515398560498.575,20503926868190.664,257699280249.2875,61516638671308.83
100890.72907290728,0.0021002100210021,-41007521773304.914,-541167028311.4535,20503760886652.457,270583514155.72675,61516638671308.81
105695.0495049505,0.0022002200220022,-41007173617870.02,-566935282437.4243,20503586808935.01,283467641218.71216,61516638671308.81
110499.3699369937,0.0023002300230023,-41006809270214.14,-592703312701.5542,20503404635107.07,296351656350.7771,61516638671308.81
115303.69036903689,0.0024002400240024004,-41006428730481.125,-618471108928.9978,20503214365240.562,309235554464.4989,61516638671308.83
120108.0108010801,0.0025002500250025004,-41006031998821.24,-644238660945.0026,20503015999410.62,322119330472.5013,61516638671308.81
124912.3312331233,0.0026002600260026,-41005619075391.14,-670005958574.9119,20502809537695.57,335002979287.45593,61516638671308.81
129716.65166516652,0.0027002700270027003,-41005189960353.875,-695772991644.1702,20502594980176.938,347886495822.0851,61516638671308.83
134520.9720972097,0.0028002800280028,-41004744653878.88,-721539749978.326,20502372326939.44,360769874989.163,61516638671308.81
139325.2925292529,0.0029002900290029,-41004283156142.0,-747306223403.0366,20502141578071.0,373653111701.5183,61516638671308.81
144129.61296129614,0.0030003000300030005,-41003805467325.46,-773072401744.0715,20501902733662.73,386536200872.03577,61516638671308.81
148933.93339333934,0.0031003100310031005,-41003311587617.875,-798838274827.3167,20501655793808.938,399419137413.6583,61516638671308.81
153738.25382538253,0.0032003200320032004,-41002801517214.27,-824603832478.7788,20501400758607.137,412301916239.3894,61516638671308.81
158542.57425742573,0.0033003300330033,-41002275256316.05,-850369064524.5892,20501137628158.023,425184532262.2946,61516638671308.83
163346.89468946893,0.0034003400340034,-41001732805131.01,-876133960791.0077,20500866402565.504,438066980395.50385,61516638671308.81
168151.21512151216,0.0035003500350035003,-41001174163873.35,-901898511104.4268,20500587081936.676,450949255552.2134,61516638671308.81
172955.53555355535,0.0036003600360036,-41000599332763.65,-927662705291.3751,20500299666381.824,463831352645.68756,61516638671308.8
177759.85598559855,0.0037003700370037,-41000008312028.9,-953426533178.5225,20500004156014.45,476713266589.2612,61516638671308.81
182564.17641764175,0.0038003800380038,-40999401101902.47,-979189984592.6833,20499700550951.234,489594992296.3417,61516638671308.83
187368.49684968498,0.0039003900390039005,-40998777702624.11,-1004953049360.8202,20499388851312.055,502476524680.4101,61516638671308.8
192172.81728172817,0.004000400040004,-40998138114440.0,-1030715717310.0483,20499069057220.0,515357858655.0242,61516638671308.81
196977.13771377137,0.0041004100410041,-40997482337602.67,-1056477978267.6406,20498741168801.336,528238989133.8203,61516638671308.81
201781.45814581457,0.0042004200420042,-40996810372371.08,-1082239822061.0299,20498405186185.54,541119911030.51495,61516638671308.81
206585.77857785777,0.0043004300430043,-40996122219010.55,-1108001238517.814,20498061109505.273,554000619258.907,61516638671308.81
211390.099009901,0.0044004400440044,-40995417877792.81,-1133762217465.7585,20497708938896.406,566881108732.8793,61516638671308.83
216194.4194419442,0.004500450045004501,-40994697348995.99,-1159522748732.8037,20497348674497.996,579761374366.4019,61516638671308.83
220998.7398739874,0.0046004600460046,-40993960632904.586,-1185282822147.065,20496980316452.293,592641411073.5325,61516638671308.81
225803.0603060306,0.0047004700470047005,-40993207729809.5,-1211042427536.8389,20496603864904.75,605521213768.4194,61516638671308.81
230607.38073807379,0.004800480048004801,-40992438640008.03,-1236801554730.6072,20496219320004.016,618400777365.3036,61516638671308.81
235411.701170117,0.0049004900490049,-40991653363803.87,-1262560193557.0403,20495826681901.934,631280096778.5201,61516638671308.83
